Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points,Non Extrema Points
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,U,731,1001,0.11773903882747659,727,688,35,81,1
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,V,612,1001,0.09935916590465661,630,693,31,69,0
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,W,874,1001,0.17029306839968916,882,693,54,130,10
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,X,691,1001,0.11821654639624765,841,676,56,130,5
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Y,540,1001,0.09708244292694002,642,676,45,103,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Z,677,1001,0.11377529899438303,650,697,24,56,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,a,455,1001,0.06745000000000001,425,426,24,64,3
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,b,446,1001,0.08150156862745098,410,685,22,56,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,c,302,1001,0.03605797647058824,284,426,14,40,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,d,471,1001,0.08898728356354461,525,685,28,72,5
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,e,349,1001,0.045298000000000005,319,426,16,46,3
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,f,279,1001,0.08130189803921571,728,982,25,61,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,g,432,1001,0.09872673333333336,527,713,30,90,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,h,467,1001,0.08748412407946755,438,707,29,71,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,i,287,1001,0.0437921220043573,242,658,24,64,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,j,271,1001,0.06058170588235296,501,881,21,57,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,k,434,1001,0.08177555174148936,411,685,33,73,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,l,254,1001,0.05282256617647058,312,685,17,39,1
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,m,731,1001,0.1017753622997053,655,426,44,112,6
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,n,519,1001,0.07144871341592325,427,426,31,81,6
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,o,397,1001,0.05428576470588235,335,426,9,27,1
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,p,461,1001,0.096231518852905,569,829,35,83,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,q,454,1001,0.0920667557132297,424,719,29,71,3
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,r,356,1001,0.0414083137254902,357,416,22,56,3
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,s,294,1001,0.03707369411764706,292,426,16,48,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,t,314,1001,0.04824384633879401,322,553,27,59,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,u,484,1001,0.07024182228636643,424,426,31,81,5
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,v,524,1001,0.06388329411764708,478,426,23,65,5
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,w,737,1001,0.09287802352941178,678,426,34,94,8
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,x,471,1001,0.06375800000000001,449,426,35,89,6
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,y,409,1001,0.07286860000000002,511,713,26,74,10
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,z,477,1001,0.0646902,433,459,32,88,7
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,A,744,1001,0.14915776470588238,762,745,43,109,12
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,B,678,1001,0.20192480000000002,596,714,40,100,6
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,C,750,1001,0.14522114780762332,669,738,23,63,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,D,836,1001,0.21436240000000004,758,714,32,84,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,E,686,1001,0.1655634644310108,629,714,56,138,14
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,F,628,1001,0.1458873573529412,596,717,47,117,7
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,G,835,1001,0.1775136,748,738,38,96,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,H,858,1001,0.22567440000000002,798,714,68,156,1
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,I,388,1001,0.10886400000000002,324,714,30,70,2
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,J,350,1001,0.12753604705882354,426,931,24,60,3
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,K,720,1001,0.19264,688,714,63,147,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,L,670,1001,0.12680640000000004,612,714,32,76,2
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,M,996,1001,0.252168,948,714,59,145,9
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,N,808,1001,0.17885035294117652,760,723,52,124,4
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,O,850,1001,0.19215204705882355,746,738,13,39,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,P,615,1001,0.16128,576,714,34,84,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,Q,850,1001,0.25513717367841443,1103,951,25,71,10
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,R,715,1001,0.20372800000000002,680,714,48,122,10
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,S,552,1001,0.13997110588235295,452,738,34,96,13
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,T,722,1001,0.14470065852023575,720,753,38,92,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,U,745,1001,0.15708931764705886,726,726,41,101,9
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,V,720,1001,0.13490533333333338,724,731,37,91,9
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,W,1056,1001,0.24722133333333335,1078,731,52,118,4
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,X,702,1001,0.16014880000000004,724,714,56,136,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,Y,700,1001,0.1355648,712,714,44,104,6
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,Z,704,1001,0.16128825060035487,662,730,28,72,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,a,443,1001,0.0893807088870148,410,441,30,78,6
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,b,519,1001,0.13307823529411764,486,735,28,70,3
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,c,418,1001,0.06893784154556401,379,441,16,46,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,d,529,1001,0.13720792647058824,490,735,32,82,6
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,e,434,1001,0.08155345749675022,386,441,18,46,4
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,f,315,1001,0.09593449411764704,416,726,36,80,4
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,g,494,1001,0.148089836814866,494,701,39,111,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,h,545,1001,0.1388966117647059,519,726,49,113,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,i,271,1001,0.06278437254901963,245,647,28,70,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,j,258,1001,0.09228218039215688,284,931,23,61,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,k,510,1001,0.13426729411764707,524,726,54,132,7
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,l,260,1001,0.08643670588235294,264,726,26,60,2
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,m,816,1001,0.15961637647058827,766,432,69,157,4
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,n,549,1001,0.1063058823529412,502,432,48,110,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,o,510,1001,0.0941007529411765,446,441,14,42,6
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,p,523,1001,0.13535573333333334,476,704,36,84,2
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,q,506,1001,0.13638560000000002,474,705,33,79,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,r,358,1001,0.06459211764705881,345,438,31,71,1
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,s,370,1001,0.06937751470588238,299,441,26,66,5
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,t,331,1001,0.06866032891895014,319,543,23,53,3
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,u,526,1001,0.10295310264481962,505,433,41,101,10
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,v,454,1001,0.06908823529411766,500,435,34,84,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,w,678,1001,0.1188078823529412,718,435,52,112,3
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,x,432,1001,0.08229091764705883,468,423,56,130,4
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,y,438,1001,0.08950409411764707,478,692,36,90,8
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,z,444,1001,0.08147143552639267,444,445,22,46,3
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,A,650,1001,0.1380952074251022,752,688,39,85,1
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,B,626,1001,0.17157427808158304,634,676,35,87,2
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,C,664,1001,0.13060132320128198,636,706,29,75,3
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,D,796,1001,0.17878680245299766,784,676,28,72,5
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,E,677,1001,0.14648999499978227,708,676,50,110,2
