Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,D,777,1001,778,679,0.14505809988066964,28,72
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,E,669,1001,702,676,0.12485425138032093,50,106
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,F,620,1001,712,686,0.10733075401560843,42,96
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,G,709,1001,652,700,0.11816217350417751,33,81
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,H,784,1001,894,676,0.15654294352060136,56,120
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,I,359,1001,475,676,0.07568437562589972,26,58
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,J,345,1001,592,873,0.08920433823529413,23,57
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,K,684,1001,797,676,0.13739835816901494,57,133
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,L,625,1001,606,688,0.0933401546946906,33,79
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,M,938,1001,1031,676,0.1859338,51,113
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,N,746,1001,890,676,0.1346035334465958,40,88
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,O,709,1001,613,700,0.12620916650957906,10,30
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,P,590,1001,634,676,0.11264200333918743,29,69
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Q,740,1001,644,935,0.17237733333333333,28,80
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,R,694,1001,683,676,0.1431784826761459,40,96
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,S,504,1001,478,700,0.09320431976463514,30,78
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,T,664,1001,675,692,0.1026559511479173,34,80
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,U,731,1001,727,688,0.11773903882747659,35,81
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,V,612,1001,630,693,0.10107225497197829,31,69
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,W,874,1001,882,693,0.17029306839968916,54,130
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,X,691,1001,841,676,0.12044704727164854,56,130
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Y,540,1001,642,676,0.09708244292694,45,103
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Z,677,1001,650,697,0.113775298994383,24,56
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,a,455,1001,425,426,0.06816,24,64
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,b,446,1001,410,685,0.08150156862745098,22,56
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,c,302,1001,284,426,0.036057976470588234,14,40
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,d,471,1001,525,685,0.08898728356354461,28,72
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,e,349,1001,319,426,0.045298,16,46
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,f,279,1001,728,982,0.0813018980392157,25,61
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,g,432,1001,527,713,0.09872673333333334,30,90
